pmid,titre,abstract,annee,journal,requete,abstract_length,abstract_words
34089225,Psychological distress and its associations with psychosocial work environment factors in four professional groups: A cross-sectional study.,"This study aimed to explore associations between psychosocial work environment factors and psychological distress in four groups of professionals in Norway. Eight hundred fifty-six professionals participated in this cross-sectional study 6 years after graduation. Data were analyzed with linear and logistic regression analyses. For the sample as a whole, higher psychological distress was associated with higher demands, lower support, lower job satisfaction, more work-home interaction problems, and lower coping in the job. Work-home interaction problems increased the likelihood of having case-level psychological distress. The strength of associations between psychological distress and other factors, such as demands, support, and coping in the job, varied by professional group. In conclusion, problems concerned with work-home interaction were generally associated with higher psychological distress. Between professional groups, other independent variables were differently associated with psychological distress. Work environment factors should receive continued attention in efforts to promote mental health.",2021,Nursing & health sciences,post_graduation_transition,1119,145
34020227,The relationship of sleep quality among internship nurses with clinical learning environment and mental stress: a cross-sectional survey.,"Previous evidence has supported an association between sleep quality and psychological stress. However, the association between internship nurses sleep status and its relevant factors is poorly understood. The aim of this study was to investigate sleep quality and its related factors in clinical learning environment and mental stress. A cross-sectional survey was conducted by three instruments: Clinical Learning Environment, Supervision, and Nurse Teacher Evaluation Scale (CLES T), Stress Rating Scale for practicing nurses (SRS) and Pittsburgh Sleep Quality Index (PSQI). A total of 508 (91.86 ) of 553 students experienced poor sleep quality. The structural equation model showed a correlation of the PSQI with the CLES T (r -0.21, p 0.001), a correlation of the PSQI with the SRS (r 0.32, p 0.001), and a correlation of the SRS with the CLES T (r -0.22, p 0.001). Linear regression analysis showed that education (B -0.56, p 0.001), willingness to engage in nursing after graduation (B -0.75, p 0.001), pedagogical atmosphere in the ward (B -0.05, p 0.001) measured by the CLES T, workload (B 0.11, p 0.01), interpersonal relationships (B -0.12, p 0.03), and conflicts between study and work (B 0.12, p 0.001) on the SRS were significant factors influencing the PSQI. Poor sleep quality is common among internship nurses and it s affected by clinical environment and mental stress. It s necessary to apply more tailored education programs to promote nursing development.",2021,Sleep medicine,post_graduation_transition,1478,233
34002465,Effects of the COVID-19 pandemic on acute stress disorder and career planning among healthcare students.,"This study aimed to investigate the effects of COVID-19 on the prevalence of acute stress disorder and subsequent effects on career planning among healthcare students. A cross-sectional survey was conducted among 1158 healthcare students across five medical universities in February 2020. Acute stress disorder was assessed using the Stanford Acute Stress Response Questionnaire. Further data regarding COVID-19 knowledge, individual behaviours, occupational choices, and career planning were collected. Based on the results of the Stanford Acute Stress Response Questionnaire, the students were divided into high-risk and low-risk groups for acute stress disorder. The correlation between acute stress disorder and the impact on career planning was analysed. The high-risk group comprised 143 (12.3 ) participants, while 1015 (87.7 ) participants were in the low-risk group. Two factors increased the risk of acute stress disorder in the students, including I think the pandemic is far away from me (B: 1.27, 95 CI: 1.60-7.87) and Physical contact with confirmed or suspected cases (B: 2.49, 95 CI: 3.42-42.44). Those who obtained pandemic information from official media sources indicated a lower risk of acute stress disorder (B: -0.24, 95 CI: 0.49-1.26). The high-risk group was more likely to quit the medical profession after graduation. The COVID-19 pandemic may cause acute stress disorder among healthcare students and affect their career planning. Universities and relevant departments should provide more information and moral support for these students.",2021,International journal of mental health nursing,post_graduation_transition,1565,228
33948489,In Our Own Words: Baccalaureate Nursing Students Describe Academic Service Learning Experiences.,"Service learning integrates community service, didactic and student self-reflection while at the same time striving to identify and meet needs of the community partnership agencies involved. Project Descriptions. In this manuscript, two baccalaureate nursing students describe their service learning experiences while embedded in an integrated primary care community partner site for two years. In project one, students designed and conducted an educational group for mental health clients in a rural day treatment program. In project two, the student revised a diabetic clinic educational form to reduce client burden.Project management and outcomes: Projects were designed in collaboration with community partners and faculty. Project one resulted in increased knowledge of coping mechanisms in a majority of group participants. Three months after implementation of the revised form designed in project two, a majority of diabetic clients served in the clinic had A1c reductions. Lessons learned by students during the experiences include communication skills such as developing rapport with specific client groups, steps of change management, professional team interactions and increased civic engagement. To our knowledge, this is the first manuscript wherein baccalaureate nursing students add their voice to the literature describing the benefits of academic service learning. Our next step is an online follow up 9 months post-graduation, to examine whether benefits and skills are maintained.",2021,SAGE open nursing,post_graduation_transition,1500,213
33809218,"Courage, Career Adaptability, and Readiness as Resources to Improve Well-Being during the University-to-Work Transition in Italy.","College students approaching a university degree can experience a critical period in their career development path that could affect their well-being. The main aim of this study was to examine the role of courage, career adaptability, and professional readiness as protective factors toward life satisfaction and flourishing during the university-to-work transition. These psychosocial resources could be useful to cope with the recent transformations of the labor market. The study involved 352 Italian university students (M 100; F 252), aged from 21 to 29 years (M 23.57; SD 2.37), attending the last year of their degree course. The results of the mediation analysis showed that courage plays a mediating role between career transition readiness and career adaptability, on one hand, with well-being indicators as outcomes. The results are discussed, providing some suggestions on practical implications for career interventions to support college students during the university-to-work transition.",2021,International journal of environmental research and public health,post_graduation_transition,1002,145
33681400,Return to Sport After Anterior Cruciate Ligament Reconstruction in a Cohort of Division I NCAA Athletes From a Single Institution.,"Anterior cruciate ligament (ACL) tears are common in collegiate athletes. The rate of return to the preinjury level of sport activities after ACL reconstruction continues to evolve. The purpose was to determine the return-to-sport rate after ACL reconstruction in a cohort of National Collegiate Athletic Association Division I athletes in different sports. It was hypothesized that, with intensive supervision of rehabilitation, the return-to-sport rate would be optimal. Case series; Level of evidence, 4. We retrospectively reviewed the records of 75 collegiate athletes from a single institution who had undergone unilateral or bilateral ACL reconstruction between 2001 and 2013 and participated in an extensive supervised rehabilitation program. Prospectively collected athlete data as well as data about preinjury exposure, associated lesions, surgical technique, time lost to injury, number of games missed, time to return to full sport activity or retire, and subsequent surgical procedures were extracted from the medical and athletic trainer records. The 75 patients (40 male, 35 female; mean age, 20.1 years) underwent 81 reconstruction procedures (73 primary, 8 revision). The mean follow-up was 19.3 months. The overall return-to-sport rate was 92 . After reconstruction, 9 athletes (12 ) retired from collegiate sports, but 3 of them returned to sport activities after graduation. Overall, 8 athletes (11 ) experienced an ACL graft retear. The return-to-sport rate in our National Collegiate Athletic Association Division I athletes compared favorably with that reported in other studies in the literature. The strict follow-up by the surgeon, together with the high-profile, almost daily technical and psychological support given mainly by the athletic trainers during the recovery period, may have contributed to preparing the athletes for a competitive rate of return to sport at their preinjury level.",2021,Orthopaedic journal of sports medicine,post_graduation_transition,1919,281
33575386,Communication apprehension and level of anxiety in the medical students of Rafsanjan University of Medical Sciences.,"Communication apprehension (CA) is the fear or anxiety about communicating. This study was designed to investigate the CA and its related factors in the medical students at Rafsanjan University of Medical Sciences (RUMS). In this cross-sectional study, personal report of CA (PRCA-24) was administered to 340 medical and paramedical students to measure anxiety in four domains of large groups, small groups, public speaking, and dyadic interaction. Pearson s correlation and linear regression analysis were used to investigate the relationship between CA and the variables of birth order, number of siblings, and university entrance score. Data were analyzed using descriptive and inferential statistics (Chi-square and Kruskal-Wallis Test). CA in the dimension of public speaking was higher than the other dimensions. Evaluation of the economic stability and its relationship to CA indicated a significant difference among all the domains of the PRCA-24. There was a significant relationship between the scores of CA and the number of siblings ( P 0.001). Linear regression and Pearson s correlation tests indicated a significant correlation between the variables of birth order, number of siblings, and university entrance score. The correlation between the CA with dimensions of group discussion, interpersonal, speaking, and meeting was weak but significant ( P 0.01). Without communication, the materialization and development of the human community are not possible. This aspect is more evident and crucial in the healthcare industry. Based on the results of this study, the medical and paramedical students at RUMS have a medium-to-high level of CA. Therefore, it is of utmost importance to detect students with high CA to prevent further communication problems after graduation.",2020,Journal of education and health promotion,post_graduation_transition,1786,266
33531173,Nursing Students Experiences Related to Operating Room Practice: A Qualitative Study.,"The purpose of this study was to examine the experiences of nursing students concerning operating room (OR) practice. A qualitative design was used in this study. Data were collected from second-year nursing students using the semistructured interview form including open-ended questions about their OR experiences. Perspectives of phenomenological approach including existentials of lived body, lived relations, lived space, and lived time were used in data analysis. The study data regarding experiences of nursing students concerning OR practice were organized under three themes, namely, OR environment, emotions, and career plans after graduation. Nine subthemes emerged: educational experience, teamwork, and communication, excitement, enjoyment, anxiety, fear, different emotions, working as a surgical nurse, and working in departments other than OR. In clinical environments, student nurses should be supported by staff and instructors to facilitate learning and create meaningful learning experiences.",2021,Journal of perianesthesia nursing : official journal of the American Society of PeriAnesthesia Nurses,post_graduation_transition,1011,137
38058950,Australian medical student expectations of work-life balance as a doctor.,"This article was migrated. The article was marked as recommended. Objectives: To explore the perceptions of medical students on achieving good work-life balance after graduation, and their opinions on parenting having an impact on their future careers. Methods: Cross-sectional cohort study of an online survey was distributed to students from all medical schools in Australia through the General Practice Students Network. Main outcome measures: Medical student perceptions on the effects of their future careers on the ability to maintain work-life balance and whether future parenting would impact their careers. Both quantitative and qualitative responses were collected. Results: The majority of survey respondents believed their careers would have a moderate or significant impact on the ability to achieve work-life balance. Thematic analysis revealed medical students perceived medical careers as lacking flexibility, being time-consuming, and potentially detrimental to health. Surveyed students indicated both parenting goals and specialty choice needed to be considered when planning their career. Conclusions: Australian medical students expressed significant concerns about their ability to juggle parenting and achieve work-life balance within the realities of a medical career.",2020,MedEdPublish (2016),post_graduation_transition,1292,178
33150328,"Consequences of early career nurse burnout: A prospective long-term follow-up on cognitive functions, depressive symptoms, and insomnia.","Burnout is common among nurses and midwives. We examined whether an early career episode of burnout has long-term consequences on; a) cognitive functions, b) symptoms of depression, and or c) insomnia for nurses a decade after graduation. Symptoms of burnout were investigated in an observational longitudinal study of three national cohorts of registered nurses (RNs). Nursing students were recruited from all 26 of Sweden s nursing programs. Burnout was subsequently measured through annual assessment over the first three years post graduation, with one long-term follow-up 11-15 years after graduation. A total of 2474 nurses (62 ) consented to participate at follow-up. Burnout was measured using items from the Oldenburg Burnout Inventory, cognitive function by a study specific instrument, depressive symptoms by the Major Depression Inventory, and sleep problems using items from the Karolinska Sleep Questionnaire. We used logistic regression to identify factors associated with consequences of early career burnout, adjusting for concurrent levels at follow up. The prevalence of nurses reporting high levels of burnout symptoms at least one of the first three years of working life was 299 (12 3 ). High levels of burnout symptoms in early working life were significantly related to more frequent symptoms of cognitive dysfunction, depression, and impaired sleep a decade later when taking current burnout levels into account. After controlling for both current symptoms of burnout and the other outcome variables, nurses with early career burnout still reported more frequent problems with cognitive functions and sleep but not depression. The results of this study show that the detrimental processes caused by overwhelming or chronic stress start early on in nurses careers and thus preventive efforts should preferably be introduced early on (e.g. as part of nursing education and onboarding programs). AFA Insurance Grant number 150284 .",2020,EClinicalMedicine,post_graduation_transition,1953,293
33135155,Secondary traumatic stress among midwifery students.,"This study aimed to examine the factors affecting secondary traumatic stress on midwifery students. This descriptive study was conducted between November and December 2018. Data were collected using information form and the Secondary Traumatic Stress Scale. The study found that 22.2 of midwifery students met all the trauma criteria for posttraumatic stress disorder according to the Secondary Traumatic Stress Scale. Midwifery students who were unhappy to continue their education and those who wished to switch to another profession after graduation respectively showed a 2.8- and a 4-fold higher risk of meeting the trauma criteria (p 0.05). The secondary traumatic stress rate in midwifery students is particularly high considering the fact that one in five students fulfills all of the Secondary Traumatic Stress criteria. However, to reduce their secondary traumatic stress rate, students should be thoroughly assessed by the educators who could provide the support necessary. Before graduation from the midwifery departments, students traumatic stress symptoms could be assessed mental health nursing courses, which might enable to change their attitudes towards to cope with this situation. Especially after traumatic childbirths, midwifery students should be supported by mental health nurses to cope with traumatic stress. Midwifery students should be encouraged each and every possible moment to express their feelings when they experience traumatic stress and thus their skills for effective coping can be reinforced.",2021,Perspectives in psychiatric care,post_graduation_transition,1530,222
33120885,"Timing of Entry into Paid Employment, Adverse Physical Work Exposures and Health: The Young Helsinki Health Study.","It is not well known how the timing of entry into paid employment and physical work exposures contribute to different health outcomes in young employees. Thus, we determined the associations of age at entry into paid employment and physical work exposures with general and mental health in young employees and determined whether associations differ by behavior-related risk factors. Data were collected via online and mailed surveys in autumn 2017 from employees of the City of Helsinki aged 18-39 years (n 5897; 4630 women and 1267 men, response rate 51.5 ). Surveys comprised measures of age at entry into paid employment, seven working conditions, behavior-related risk factors and health outcomes (self-rated health SRH and common mental disorders CMD as generic indicators of physical and mental health). Logistic regression analysis was used. After full adjustment, age at entry was not associated with the health outcomes; however, in additional analyses, younger age at first employment was associated with smoking and obesity (OR 3.00, 95 CI 2.34-3.85 and 1.67, 95 CI 1.32-2.11 for those started working at age of 18 years, respectively). Of the working conditions, sitting and standing were positively associated with poor SRH and CMD and uncomfortable working postures with CMD. Working conditions were broadly similarly associated with health outcomes among those with and without behavior-related risk factors. Although we found little support for modification by behavior-related risk factors, overweight, obesity and smoking were associated with poor SRH and binge drinking and smoking with CMD. Additionally, moderate and high levels of leisure-time physical activity were inversely associated with poor SRH. In conclusion, early entry into paid employment appears not to associate to immediate poorer health in young employees, although it was associated with smoking and obesity even after full adjustment. Exposure to physically heavy work and uncomfortable working postures may increase the risk of adverse health outcomes.",2020,International journal of environmental research and public health,post_graduation_transition,2043,305
33109674,Prevalence and severity of burnout in Hong Kong doctors up to 20 years post-graduation: a cross-sectional study.,"To estimate the prevalence and severity of burnout and explore the factors associated with burnout among Hong Kong medical graduates up to 20 years post-graduation. Cross-sectional survey. Hong Kong. Doctors who graduated from the University of Hong Kong between 1995 and 2014. Burnout as measured by the Copenhagen Burnout Inventory (CBI), alcohol consumption as measured by the Alcohol Use Disorders Identification Test Version C, lifestyle behaviours (hours of sleep and work, exercise, smoking, substance use), career satisfaction and sociodemographic characteristics were obtained using paper or online questionnaires. Response rate was 30.9 (496 1607). Prevalence of CBI burnout was 63.1 (personal), 55.9 (work-related) and 35.4 (patient-related). The mean CBI subscale scores were 57.4 21.4 (personal), 48.9 7.4 (work-related) and 41.5 21.8 (client-related). Factors associated with personal and patient-related burnout included age (coeff -0.437, 95 CI -0.779 to -0.095 and coeff -0.596, 95 CI -0.965 to -0.228, respectively), practice setting (coeff -5.759, 95 CI -10.665 to -0.853 and coeff -5.317, 95 CI -10.602 to -0.032, respectively) and regular exercise (coeff -6.855, 95 CI -11.102 to -2.608 and coeff -6.769, 95 CI -11.333 to -2.205, respectively). Gender (coeff 5.1, 95 CI 1.382 to 8.818), average hours of sleep per night (coeff -5.200, 95 CI -7.139 to -3.262) and work hours per week (coeff 0.226, 95 CI 0.099 to 0.353) were associated with personal burnout only. No factors were significantly associated with work-related burnout. Burnout is highly prevalent among Hong Kong medical graduates. Younger doctors, women and those working in the public sector appear to be at higher risk for burnout and may benefit from targeted interventions. Policymakers and healthcare authorities should consider measures to help reduce burnout by enabling adequate sleep, reducing work hours and encouraging exercise.",2020,BMJ open,post_graduation_transition,1923,284
33044439,The Effects of Fire Academy Training and Probationary Firefighter Status on Select Basic Health and Fitness Measurements.,"This study aimed to investigate changes in firefighter recruits select health and fitness measurements, from academy training to the early probationary firefighter period. Firefighter recruits from two New England fire academies were followed up prospectively from enrollment at the academy to graduation after 15- to 16-wk training programs, and then for an average of 8 months as probationary firefighters. The participants demographic, lifestyle, and mental health information was collected using a questionnaire. Body mass index, percent body fat, blood pressure, and push-ups were also measured at each time point. Furthermore, the academies tested the recruits on selected fitness measures (push-ups, pull-ups, and 1.5-mile running time) at academy entry, midtraining, and at graduation. Ninety-two recruits consented and were included in the analyses. The recruits percent body fat significantly decreased (median, 21.0 -18.2 ) from baseline to graduation, and push-up capacity significantly improved (median, 34-53 per minute) in the same period, along with pull-ups and 1.5-mile running time. However, the recruits blood pressure, both systolic and diastolic, increased significantly by an average of 3 mm Hg during the training. Those completing probationary follow-up (45 92 recruits) showed that most health fitness improvements declined after graduation. From academy graduation to probationary follow-up, recruits physical activity decreased and TV screen time increased significantly, leading to a lower healthy lifestyle score (median, 4-3). After multivariate adjustments, the recruits diastolic blood pressure increased by 2 mm Hg per measuring time throughout the study period. Fire academy training improved recruits select health and fitness measurements, but the benefits dissipated as probationary firefighters, and blood pressures increased throughout the study period. Further interventions regarding blood pressure and to maintain training benefits after joining fire departments are warranted.",2021,Medicine and science in sports and exercise,post_graduation_transition,2020,279
32982866,The Moderating Effect of Acculturation Strategies on the Relationship Between Newcomer Adjustment and Employee Behavior.,"Acculturation begins when people find themselves in a cultural setting other than theirs, and to demonstrate acceptable behaviors, one of two strategies is adopted: adapting to the new environment or retain one s own culture. On the basis of these two, four strategies have been proposed. The current article examined the moderation effect of two of these acculturation strategies, integration and separation, on the relationship between newcomer adjustment, and work-related anxiety and turnover intentions. The study was in two folds, the first explored the moderation effect among new employees in general, notwithstanding their immediate past working experience; and the second part separated the sample based on two criteria: those prior to their current role were working in another firm (work-to-work employees) and those who just come directly from school (school-to-work employees). The sample was made up of 250 employees who had spent not less than 6 months and not more than 12 months in their current role, drawn from the private banking and insurance firms in Ghana. The PROCESS analysis of the data revealed that integration moderated the relationship between newcomer adjustment and work-related anxiety and turnover intentions among all samples. Separation moderated the relationships in all cases, but for the relationship between newcomer adjustment and turnover intentions in study 1 and among school-to-work employees. The evidence from this article points to the fact that the acculturation strategy that newcomers adopt has an effect on the relationship between their level of adjustment and some organizational outcomes; however, a slight difference exists if their immediate past engagement is considered.",2020,Frontiers in psychology,post_graduation_transition,1730,258
32982582,The moderating effect of student club membership on the relationship between career intention in the tourism sector and post-graduate employability anxiety.,"The majority of the studies on students who study tourism reveal that they do not plan to build their careers in the tourism industry. It is important for both educators and the tourism industry to determine the career intentions of tourism students and the factors which affect them. There are many studies on tourism students attitudes towards the tourism industry. The main purpose of this particular study is how extracurricular student club membership status of tourism students affect their career intentions and post-graduation employability anxiety. It analyzes student club membership status as a moderating variable in building relationships between the career intentions and post-graduation employability anxiety. Data were collected from 512 respondents via survey. The research model is tested with structural equation model (SEM) and to test the moderating role of student club membership status in the relationship in question, PROCESS macro for SPSS is favoured. The study presents both theoretical insights and practical implications.",2020,"Journal of hospitality, leisure, sport & tourism education",post_graduation_transition,1051,155
32978093,Redeployment of Surgical Trainees to Intensive Care During the COVID-19 Pandemic: Evaluation of the Impact on Training and Wellbeing.,"The aim of this study was to evaluate the impact of redeployment of surgical trainees to intensive care units (ICUs) during the COVID-19 pandemic-in terms of transferrable technical and nontechnical skills and wellbeing. This was a survey study consisting of a 23-point questionnaire. The study involved surgical trainees that had been redeployed to the (ICU) across all hospitals in London during the COVID-19 pandemic. The survey was sent to 90 surgical trainees who were between postgraduate years 2 to 4. Trainees in specialty training programs ( 5 years after graduation) were not included. Thirty-two trainees responded to the questionnaire and were included in the study results. All respondents spent between 4 and 8 weeks working in ICU. Prior to redeployment, 78 of participants had previous experience of ICU or an affiliated specialty, and 90 had attended at least 1 educational course with relevance to ICU. There were statistically significant increases in confidence performing central venous cannulation and peripheral arterial catheterisation (p 0.05). With regards to clinical skills, respondents reported feeling more confident managing ventilated patients, patients on noninvasive ventilation, dialysis, and circulatory failure patients after working in ICU. Respondents (97 ) felt that the experience would be beneficial to their future careers but 53 felt the redeployment had a negative impact on their mental health. Redeployment of surgical trainees to ICU led to increased confidence in a number of technical and nontechnical skills. However, proactive interventions are needed for training surgeons with regard to their psychological wellbeing in these extraordinary circumstances and to improve workforce planning for future pandemics.",2021,Journal of surgical education,post_graduation_transition,1763,259
32960163,Psychological Problems among 12th-Grade Students Predicting Military Enlistment: Findings from the Monitoring the Future Survey.,"Objective : Rates of some psychological disorders are higher among enlisted U.S. military personnel than socio-demographically matched civilians. Indirect evidence suggests some internalizing and externalizing psychological problems among enlistees onset prior to enlistment. However, the consistency and strength of the associations between pre-enlistment psychological problems and enlistment over time is unknown. We address this uncertainty by examining whether internalizing and externalizing problems in high school predicted subsequent military enlistment using a large cohort-sequential panel study. Method : The Monitoring the Future study administered baseline surveys from 1989-2014 and biennial follow-up surveys two and four years later to national samples of high-school seniors (N 20,823). Validated self-report scales assessed internalizing (depression, low self-esteem) and externalizing (risk-taking, school misbehavior, conduct disorder, interpersonal violence, alcohol, and drug use) problems in each survey. Follow-up surveys assessed military enlistment. Logistic regression models were used to estimate associations of problems scales with subsequent enlistment. Results : School misbehavior in 12 th grade, and risk-taking in 12 th grade and two years after graduation were associated with significantly elevated odds of enlistment at follow-up. Although modest, these associations were linear and invariant across respondent sex and baseline survey year. Conclusions : School misbehavior and risk-taking predicted subsequent enlistment and there was no evidence of historical changes in these associations over the course of 25 years; these pre-enlistment psychological problems do not fully explain the high rates of psychological disorders among enlisted military personnel. Further research is needed to determine whether these predictors are associated with negative outcomes during or after military service.",2020,Psychiatry,post_graduation_transition,1938,255
32668752,Associations of Social and Psychological Resources with Different Facets of Chronic Stress: A Study with Employed and Unemployed Adolescents.,"Adolescents navigate many psychosocial changes. A critical transition in adolescence is the one from school to work life. Both taking the first steps in work life and the failure to achieve this transition and being unemployed can engender elevated levels of stress during adolescence. Stress, especially when experienced chronically, is an important risk factor for mental health problems. Social and psychological resources may mitigate the experience of chronic stress. This study explored associations of social and family support, self-esteem, and self-efficacy with different dimensions of chronic stress in a sample of 1405 employed and unemployed adolescents ( M (age) 17.84, SD 1.63, range: 14.05-26.12) in Switzerland. Unemployed adolescents showed higher stress levels overall. Higher levels of social and psychological resources were generally linked to lower stress levels. Social support and self-esteem predicted stress levels most consistently and strongly. On several stress dimensions, the association between higher self-esteem and lower stress levels was more pronounced in employed youth whereas the association between higher social support and lower stress levels was stronger in unemployed youth. Our findings provide insights on the differential associations of social and psychological resources with various facets of chronic stress in the context of employment and unemployment during adolescence.",2020,International journal of environmental research and public health,post_graduation_transition,1425,201
32624563,Not Available .,"Surviving monotony and repetitiveness at Hawthorne Works: the case of Geraldina Jennie Sirchio (1907-1992) and the other migrant girls in the test-room The research studies in the test room (t-room) at the Hawthorne Works still represent a mythical experiment, the most important one. In 1928 the experiment took flight with the Italian Geraldina Sirchio. Reporting the living and working conditions of Geraldina and young migrants. The 22 interviews with Geraldina (1931-1932) conducted by Igemon Rousseau were acquired from Cornell University. The original video of the work in the t-room was analyzed with the method of organizational congruencies. Geraldina left school to work at the age of 14. At 21 she was asked to work in the t-room. She was the fastest girl, unmarried and the breadwinner of her family. She was petite, smart and emancipated. Working conditions in the t-room were less challenging than in the big department and Geraldina defended them by guaranteeing continuity and very high productivity. In the interviews, she often reported constraints such as low wages, high speed, short breaks, back pain, heat, swollen feet, weight loss and the fainting of girls for heat prostration . The interviewer always attributed Geraldina work-related problems to her housework duties. In June 1932, during the last interview, Geraldina expressed her anger for the layoffs, particularly on behalf of the other Italian Antoinette Parillo and the Polish Theresa Layman, both fired despite having to support families with numerous children. She herself was fired five months later. The Geraldina s effect is discussed through her own words offering a truthful picture of the migrant working conditions during the Great Depression.",2020,La Medicina del lavoro,post_graduation_transition,1737,269
32566129,Competence perceptions of veterinary nursing students and registered veterinary nurses in Ireland: a mixed methods explanatory study.,"Veterinary regulators require veterinary nursing students to demonstrate clinical competence prior to registration and practice as a veterinary nurse. However, in common with other medical professions, there is no one broadly accepted definition of competence. Studies in nursing have revealed that practicing nurses may view newly qualified colleagues as lacking competence, leading to disillusionment with nursing training programmes. Similar studies are lacking in veterinary nursing, despite the profession having recently undergone a similar transition from workplace-based training to undergraduate education. A mixed methods explanatory study surveyed 66 Irish registered veterinary nurses and 31 first year veterinary nursing students at two Irish third level institutions to obtain their views on what constitutes veterinary nursing competence and when veterinary nurses develop it. The surveys were followed by student focus groups and semi-structured one-on-one interviews with registered veterinary nurses. Content analysis was employed to analyse the surveys, while the focus groups and interview transcripts underwent thematic analysis. Students perceived competence primarily as the ability to provide patient care, and they expected it to develop close to the time of graduation. RVNs held a broader definition of competence, incorporating leadership skills and confidence as well as patient care provision. RVNs expected it to take approximately two years of workplace-based experience post-graduation for a veterinary nurse to develop competence. In addition, RVNs recognised that anxiety felt by many newly qualified veterinary nurses during this period could be attenuated by mentorship from more experienced colleagues. Irish RVNs and veterinary nursing students perceive competence differently, similar to previous findings from the nursing profession. Educators and regulators should provide explicit descriptions of terms such as competence to avoid confusion and possible disillusionment amongst veterinary nursing stakeholders.",2020,Irish veterinary journal,post_graduation_transition,2053,278
32522180,Medical students on long-term rural clinical placements and their perceptions of urban and rural internships: a qualitative study.,"There is some anecdotal evidence that anxiety about the responsibility of an intern influences rural future intentions. Additionally, research has shown that urban interns have reported that they are worried about being forced to work in non-metropolitan hospitals in their first year after graduation. This study sought to explore rural medical students perceptions and expectations of a rural internship and how local health services and or their medical school can prepare them best for a rural intern position. Four focus groups were conducted with 62 final-year medical students upon completion of a 12-month rural clinical school placement. Focus groups were audio-recorded and transcribed verbatim for thematic analysis to identify key themes. Most students have high levels of anxiety around starting work but they acknowledge that this may be exaggerated. They believe that in rural areas they get higher quality supervisory support than in urban hospitals as people know you better, whereas in the city you are more anonymous. However, the level of responsibility placed on rural interns was considered to be a double-edged sword. While rural interns were allowed to do more than be a paper-pusher this level of responsibility means they are more accountable. The majority felt that doing your first training years in a metropolitan hospital can be crucial to getting on a training program in your chosen speciality. There appears to be a relatively high level of anxiety about rural internships amongst final-year medical students. Students need more targeted information around specialisation, particularly around regional training hubs, if we want to achieve higher levels of interns choosing a rural career path.",2020,BMC medical education,post_graduation_transition,1726,264
32461413,The impact of COVID-19 related lockdown on ophthalmology training programs in India - Outcomes of a survey.,"In 2020, in response to the emergence and global spread of the disease COVID-19, caused by a new variant of coronavirus 2019-nCoV, the government of India ordered a nationwide lockdown for 21 days, which was then extended to a total of over 50 days. The aim of this study is to assess the effect of the lockdown on ophthalmic training programs across India. An online survey was sent across to trainee ophthalmologists across India through various social media platforms. In all, 716 trainees responded; the average age was 29.1 years. Results showed that majority of the respondents were enrolled in residency programs (95.6 ; 685 716) and the others were in fellowship programs. About 24.6 (176 716) of the trainees had been deployed on COVID-19 screening duties. Nearly 80.7 (578 716) of the trainees felt that the COVID-19 lockdown had negatively impacted their surgical training. Furthermore, 54.8 (392 716) of the trainees perceived an increase in stress levels during the COVID-19 lockdown and 77.4 (554 716) reported that their family members had expressed an increased concern for their safety and wellbeing since the lockdown began. In all, 75.7 (542 716) of the respondents felt that online classes and webinars were useful during the lockdown period. Our survey showed that majority ophthalmology trainees across the country felt that the COVID-19 lockdown adversely affected their learning, especially surgical training. While most found online classes and webinars useful, the trainees perceived stress levels were higher than normal during the lockdown. Training hospitals should take cognizance of this and reassure trainees; formulate guidelines to augment training to compensate for the lost time as well as mitigate the stress levels upon resumption of regular hospital services and training. Going ahead, permanent changes such as virtual classrooms and simulation-based training should be considered.",2020,Indian journal of ophthalmology,post_graduation_transition,1921,297
